"id","age","gender"
1,11,"male"
2,10,"female"
3,7,"male"
4,9,"male"
5,8,"female"
6,6,"male"
7,11,"female"
8,7,"male"
9,10,"female"
10,11,"female"
11,10,"male"
12,7,"male"
13,11,"male"
14,10,"female"
15,6,"male"
16,9,"female"
17,11,"male"
18,8,"female"
19,7,"female"
20,11,"male"
21,10,"male"
22,6,"male"
23,7,"male"
24,9,"female"
25,6,"male"
26,10,"female"
27,7,"female"
28,9,"female"
29,8,"female"
30,7,"male"
31,9,"female"
32,7,"female"
33,8,"male"
34,10,"male"
35,8,"female"
36,9,"female"
37,11,"male"
38,9,"female"
39,7,"male"
40,8,"male"
41,11,"male"
42,9,"female"
43,10,"female"
44,11,"male"
45,10,"male"
46,8,"male"
47,7,"female"
48,11,"male"
49,6,"male"
50,7,"female"
51,6,"male"
